,day,latitude_1,longitude_1,latitude_2,longitude_2
2197025,2020-02-25,50.87493896484375,7.137401683910473,55.59919971530721,13.36323738098145
2194641,2020-02-25,2.732104285288665,101.68192370184539,3.668701171875,99.49390993279928
2215472,2020-02-25,48.99659729003906,2.570378230168269,35.83647129899364,14.503589386635639
2268364,2020-02-25,40.77170679124736,-73.85640231045812,43.65486145019531,-79.63235544603924
2253260,2020-02-25,41.03421020507812,-81.006591796875,40.85009765625,-80.77557373046875
2241869,2020-02-25,44.88729703224311,-93.23279404058692,43.9365234375,-93.5865251408067
2202999,2020-02-25,-32.11108191538665,115.90110934510521,-32.67242431640625,117.083935546875
2191935,2020-02-25,38.29568636619438,-78.94733594811481,43.55964660644531,-70.80924810365185
2186674,2020-02-25,33.829278461003696,-99.5207977294922,29.99322509765625,-95.28350830078124
2226674,2020-02-25,41.18322857355667,28.68343006480824,43.67308044433594,-79.66563380041787
2186225,2020-02-25,31.11131286621094,-87.7536728802849,33.62017822265625,-84.46266641422193
2201902,2020-02-25,33.4310302734375,-112.010009765625,33.95379638671875,-118.3863737145249
2203956,2020-02-25,50.073635295286024,19.75490260768581,48.34363775738215,11.77831950940584
2217670,2020-02-25,29.23672485351562,52.675112210787255,26.03461831302966,54.04407207782454
2225360,2020-02-25,42.98633640095339,-87.90200369698664,32.83740234375,-97.05509033203123
2256239,2020-02-25,37.863029867915785,-120.18290644106659,37.71176147460938,-121.8521702543218
2261272,2020-02-25,-35.027023315429695,138.4268935845823,-37.69101934917904,144.8419587508492
2230648,2020-02-25,28.51487731933594,-81.1963594876803,40.66392517089844,-73.8038330078125
2220493,2020-02-25,38.95468139648438,-77.45952440344769,29.19118590274099,-81.28461052389707
2217413,2020-02-25,45.68971252441406,-0.3697167373284742,45.91200489108846,-0.1641769409179688
2192537,2020-02-25,-38.22669594974843,145.37186995796532,-37.98383292505298,145.0979879628057
2185966,2020-02-25,-38.061575162208726,144.4628110139266,-39.0717587228549,143.1210327148438
2198784,2020-02-25,33.579025268554695,130.4554156867825,35.45626831054688,139.8426246643066
2239846,2020-02-25,34.2307915121822,-118.4925270080566,39.85849154197563,-75.28692626953125
2248216,2020-02-25,37.3648681640625,-121.92901611328121,33.428878784179695,-112.01748046875
2210090,2020-02-25,38.86605834960938,1.35597560716712,41.26758122848252,2.334407459605824
2200150,2020-02-25,4.065353393554688,-74.90902140989141,4.61187744140625,-74.11567817300056
2209672,2020-02-25,53.35350812491724,-2.271887835334326,43.47434350999735,21.98148454938616
2228582,2020-02-25,44.94813537597656,-93.07133265904021,45.577806375794495,-94.04399871826172
2198150,2020-02-25,22.69956944352489,88.45408121744794,22.67205707097457,86.65323893229169
2186267,2020-02-25,44.94353213552701,-93.26079577934452,51.464942026946495,-0.4309844970703125
2256287,2020-02-25,32.244035106594275,-82.03401526626277,26.066041073556672,-80.2004594069261
2260013,2020-02-25,33.457558842028604,-111.7316857162787,32.85269165039062,-113.58858032226559
2233080,2020-02-25,36.29561602059057,-94.31295191988032,32.84609985351562,-97.01004638671871
2232982,2020-02-25,45.34378827628443,-75.55894060832695,38.7966349973517,-77.03228759765625
2271385,2020-02-25,42.9861036397643,-87.91508265904018,43.13409320378707,-89.34193202427456
2198028,2020-02-25,-37.73135375976562,144.8991491439495,-34.90805053710938,138.5907356106505
2247825,2020-02-25,29.350999735169488,-16.18722354664521,51.90353393554688,0.2625274658203125
2227820,2020-02-25,37.48213945809057,126.4361572265625,14.69192504882812,122.3693689806708
2263078,2020-02-25,41.11698473914196,16.67986783114346,50.98722296246027,17.21343994140625
2187922,2020-02-25,43.73140496722722,-116.9196428571429,43.26164245605469,-115.90122666469841
2225463,2020-02-25,41.06826782226562,-73.76080322265625,41.05732727050781,-73.67535400390625
2257347,2020-02-25,28.041764598781786,-98.59669404871323,32.095859333620226,-89.70813361965878
2257196,2020-02-25,25.812843452065678,-80.20309736143868,41.38243103027344,-81.90106201171875
2229210,2020-02-25,12.99435890327066,80.17990915398849,11.38494873046875,78.14523104963632
2265733,2020-02-25,42.24595642089844,-83.31750349564987,42.91864944716632,-78.75810895647322
2222699,2020-02-25,40.81828308105469,65.646240234375,55.63467407226562,37.29442249644886
2271272,2020-02-25,34.435592651367195,132.9607469208387,35.40934753417969,139.8758125305176
2200055,2020-02-25,-33.927474975585945,150.99996138592158,-35.44711303710938,150.09687423706052
2209932,2020-02-25,48.72994995117188,2.34508807842548,47.39085388183594,-1.32989501953125
2239450,2020-02-25,36.02362060546875,-83.88587951660156,28.83291988049523,-82.26643281824448
2241354,2020-02-25,33.634736659163124,-84.41545486450195,28.103772179555076,-79.3993243049173
2173404,2020-02-25,28.69528198242188,-14.94563176081731,52.46681213378906,9.7039794921875
2149941,2020-02-25,50.04658126831055,8.573979829487048,43.66944393869174,-79.67095511300226
2235376,2020-02-25,-23.62014770507812,-46.6610209147135,-29.98049926757812,-50.958952062270214
2219978,2020-02-25,45.365062648967154,-75.50621963128809,34.130996704101555,-76.95216587611607
2202945,2020-02-25,-31.68406677246094,116.0163789636948,-31.61111088122352,116.00650634765628
2230888,2020-02-25,36.63814738645392,-121.53520300033242,32.666496664790785,-114.6861111387915
2219157,2020-02-25,61.17843886553232,-150.0027465820312,61.05221557617188,-148.2601056780134
2206792,2020-02-25,50.02001953125,8.526113409745065,51.5046976380429,0.0714111328125
2185700,2020-02-25,37.660481081170545,-122.1228889797045,37.98909332792638,-122.0542244289232
2249439,2020-02-25,25.0770263671875,121.24404907226558,14.10273742675781,98.20697652882544
2199439,2020-02-25,39.89122009277344,-104.6927211595618,32.832321166992195,-96.82789306640629
2189578,2020-02-25,38.45590209960938,-108.89702174974519,33.938164145259535,-118.37465286254879
2210425,2020-02-25,57.09378433227539,9.834330081939695,55.61627274852687,12.653181552886961
2186162,2020-02-25,37.45197360798464,-77.47158548106319,36.834228515625,-79.40786361694336
2256527,2020-02-25,44.45631641452596,-73.26306598942455,35.289529056872354,-80.94218152634643
2206083,2020-02-25,55.424396062301376,37.86854137073863,59.68550859871557,30.6890763907597
2254428,2020-02-25,33.871444702148445,-117.9843637894611,33.872268676757805,-117.97915088887122
2204816,2020-02-25,55.95954895019531,37.33445601029829,36.678298691571776,-4.502290766289889
2228449,2020-02-25,31.05899047851562,-97.50565472771143,33.191745564088976,-97.1982309769611
2214276,2020-02-25,28.360693980071503,49.862311868106616,26.01613707461599,53.764818631685706
2271991,2020-02-25,43.42231750488281,27.60404365007268,38.78904698258739,29.91558837890625
2190020,2020-02-25,33.64688679323358,-84.40263748168945,39.64059448242188,-86.23813795006794
2190974,2020-02-25,30.07672119140625,-95.60141170726105,30.0128329002251,-95.54523925781253
2204937,2020-02-25,28.54429600602489,77.07851634306066,31.872802734375,75.5101318359375
2264528,2020-02-25,33.86354090803761,-84.3083381652832,33.916238041247354,-84.28401947021484
2250923,2020-02-25,51.2874755859375,6.768394676414696,52.56394725734904,13.329947335379472
2202500,2020-02-25,19.68585205078125,107.01443808419359,2.677413940429688,101.74210370597193
2205017,2020-02-25,36.06378587625795,-86.49553664187164,38.2057474427304,-85.73831972868547
2269345,2020-02-25,41.98361206054688,-87.888315374201,41.3797255693856,-81.90544821999288
